prospect_id,score,tier,probability,confidence,recommended_action,predicted_at,model_mode,lead_source,country,city,specialization
7927b2df-8bba-4d29-b9a2-b6e0beafe620,0.24,Frozen,0.0024,0.0024,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.159551+00:00,ml,Olark Chat,India,Select,Select
2a272436-5132-4136-86fa-dcc88c88f482,3.35,Frozen,0.0335,0.0335,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.167511+00:00,ml,Organic Search,India,Select,Select
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,2.5,Frozen,0.025,0.025,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.177008+00:00,ml,Direct Traffic,India,Mumbai,Business Administration
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,1.52,Frozen,0.0152,0.0152,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.186771+00:00,ml,Direct Traffic,India,Mumbai,Media and Advertising
3256f628-e534-4826-9d63-4a8b88782852,3.37,Frozen,0.0337,0.0337,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.197375+00:00,ml,Google,India,Mumbai,Select
2058ef08-2858-443e-a01f-a9237db2f5ce,0.08,Frozen,0.0008,0.0008,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.207481+00:00,ml,Olark Chat,India,nan,nan
9fae7df4-169d-489b-afe4-0f3d752542ed,2.25,Frozen,0.0225,0.0225,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.217659+00:00,ml,Google,India,Mumbai,Supply Chain Management
20ef72a2-fb3b-45e0-924e-551c5fa59095,0.24,Frozen,0.0024,0.0024,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.227269+00:00,ml,Olark Chat,India,nan,nan
cfa0128c-a0da-4656-9d47-0aa4e67bf690,1.49,Frozen,0.0149,0.0149,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.236081+00:00,ml,Direct Traffic,India,Thane & Outskirts,IT Projects Management
af465dfc-7204-4130-9e05-33231863c4b5,0.43,Frozen,0.0043,0.0043,Exclude from active outreach or move to long-term drip.,2026-07-19T08:08:24.242091+00:00,ml,Google,India,Mumbai,Finance Management
